,"Foreign direct investment, net (BoP, current US$)","Net capital account (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Exports of goods and services (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Net secondary income (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Total reserves (includes gold, current US$)","External debt stocks, long-term (DOD, current US$)",Total debt service (% of GNI),"Debt service on external debt, total (TDS, current US$)","Net financial flows, bilateral (NFL, current US$)","Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Adjusted net national income (current US$),"GNI, Atlas method (current US$)",Exports of goods and services (annual % growth),GDP growth (annual %),GNI growth (annual %),GDP (constant LCU),GNI (constant LCU),Gross national expenditure (constant LCU),Gross domestic income (constant LCU),"Industry (including construction), value added (constant LCU)","Manufacturing, value added (constant LCU)","Services, value added (constant LCU)",GDP (current LCU),GNI (current LCU),Exports of goods and services (current LCU),"Industry (including construction), value added (current LCU)","Services, value added (current LCU)",Gross savings (% of GDP),Gross savings (% of GNI),Exports of goods and services (% of GDP),Trade (% of GDP),Imports of goods and services (constant 2010 US$),Exports of goods and services (constant 2010 US$),GDP (current US$),GNI (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Services, value added (current US$)","Net ODA provided, total (% of GNI)",Net ODA received (% of central government expense),Net ODA received (% of GNI),Net official aid received (current US$),"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)","GNI, PPP (current international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Over-age students, primary (% of enrollment)","Persistence to grade 5, total (% of cohort)","Government expenditure on education, total (% of government expenditure)","Compulsory education, duration (years)","Adjusted net enrollment rate, primary (% of primary school age children)","Primary education, pupils",Aquaculture production (metric tons),Cereal production (metric tons),"Plant species (higher), threatened",Rural population,Urban population,Electricity production from coal sources (% of total),Access to electricity (% of population),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (hectares),Land area (sq. km),Urban land area (sq. km),Rural land area (sq. km),Total natural resources rents (% of GDP),"Depositors with commercial banks (per 1,000 adults)",Bank liquid reserves to bank assets ratio (%),"Claims on central government, etc. (% GDP)",Net domestic credit (current LCU),Net foreign assets (current LCU),"Listed domestic companies, total","Stocks traded, total value (current US$)",Consumer price index (2010 = 100),"Inflation, GDP deflator (annual %)",Deposit interest rate (%),Real interest rate (%),Broad money (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"External health expenditure per capita, PPP (current international $)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total","ICT service exports (BoP, current US$)","Patent applications, residents","Trademark applications, total",Rail lines (total route-km),Gini index (World Bank estimate),Multidimensional poverty headcount ratio (% of total population),Poverty headcount ratio at national poverty lines (% of population),Start-up procedures to register a business (number),Cost of business start-up procedures (% of GNI per capita),Profit tax (% of commercial profits),Merchandise exports to high-income economies (% of total merchandise exports),Fuel exports (% of merchandise exports),Ores and metals exports (% of merchandise exports),,,,,,Merchandise imports (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Ores and metals imports (% of merchandise imports),"Bound rate, simple mean, all products (%)","Share of tariff lines with international peaks, all products (%)","Binding coverage, all products (%)",Export value index (2000 = 100),"Armed forces personnel, total","Armed forces personnel, total",Military expenditure (% of GDP),"Central government debt, total (% of GDP)",Expense (% of GDP),Tax revenue (% of GDP),Taxes on goods and services (% of revenue),"Revenue, excluding grants (% of GDP)",Social contributions (current LCU),IDA resource allocation index (1=low to 6=high),"Employers, total (% of total employment) (modeled ILO estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)",Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1993 [YR1993],NaN,NaN,NaN,NaN,NaN,NaN,NaN,119862147.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.12346,NaN,100,NaN,NaN,93.5867,1190,NaN,NaN,NaN,2309,22900,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6,3,25209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.02999878,NaN,NaN,NaN,NaN,NaN
1994 [YR1994],NaN,NaN,NaN,NaN,NaN,NaN,NaN,176306358.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.30645,NaN,NaN,NaN,NaN,92.72,1166,NaN,NaN,NaN,2236,23346,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,3,25582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995 [YR1995],NaN,NaN,NaN,NaN,NaN,NaN,NaN,198546105.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2161,23767,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1,2,25928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.49470962,NaN,82400000000,NaN,NaN,47.34000015,NaN,NaN,NaN,NaN,NaN
1996 [YR1996],NaN,NaN,NaN,NaN,NaN,NaN,NaN,215015643.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.77358,NaN,NaN,NaN,NaN,87.57764,1134,NaN,NaN,NaN,2087,24165,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5,2,26252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.61999893,NaN,NaN,NaN,NaN,NaN
1997 [YR1997],NaN,NaN,NaN,NaN,NaN,NaN,NaN,182944575.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1018000000,NaN,NaN,NaN,NaN,NaN,NaN,859000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43195.36938,43195.36938,NaN,NaN,97.44526,NaN,NaN,NaN,NaN,88.70229,1170,NaN,NaN,NaN,2013,24549,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9,2,26562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.45999908,NaN,NaN,NaN,NaN,NaN
1998 [YR1998],NaN,NaN,NaN,NaN,NaN,NaN,NaN,170672592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.465618861,NaN,1094000000,NaN,NaN,NaN,NaN,NaN,NaN,940000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46456.42291,46456.42291,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1939,24901,NaN,100,NaN,NaN,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.827515095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3,2,26840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.00999832,NaN,NaN,NaN,NaN,NaN
1999 [YR1999],NaN,NaN,NaN,NaN,NaN,NaN,NaN,144125713.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.049360146,NaN,1193000000,NaN,NaN,NaN,NaN,NaN,NaN,1041000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1109098658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50814.4323,50814.4323,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1869,25276,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.554636086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8,2,27145,NaN,NaN,2177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.40000153,NaN,NaN,NaN,NaN,NaN
2000 [YR2000],NaN,NaN,NaN,NaN,NaN,NaN,NaN,135161372.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.179379715,NaN,1219000000,NaN,NaN,NaN,NaN,NaN,NaN,1091000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1005159388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52469.8279,52469.8279,NaN,NaN,82.63666,0.64051,NaN,NaN,10,85.05826,1249,NaN,NaN,NaN,1802,25660,NaN,100,NaN,NaN,1000,60,57.78162003,3.735872746,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.567733587,NaN,NaN,NaN,2086.056152,5.86393833,2151.650879,0,5.4,1,27462,NaN,NaN,2640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.81605762,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001 [YR2001],NaN,NaN,NaN,NaN,NaN,NaN,NaN,133005013.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.578342904,NaN,1287000000,NaN,NaN,NaN,NaN,NaN,NaN,1183000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1077413479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55899.42997,55899.42997,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1738,26074,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.703478414,2.4,5.254468173,NaN,2239.608154,5.70188189,2172.196533,0,4.9,1,27812,NaN,NaN,2148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.13567232,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002 [YR2002],NaN,NaN,NaN,NaN,NaN,NaN,NaN,182564953.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.310800311,NaN,1291000000,NaN,NaN,NaN,NaN,NaN,NaN,1215000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1168269231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56226.24966,56226.24966,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1712,26463,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.386768924,2.675,5.433544914,NaN,2046.187012,5.51470137,2248.690918,0,4.6,1,28175,NaN,NaN,1876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.23854409,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.73482815,35.95729695,18.0982586,25.09553825,35.74266612,94358067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003 [YR2003],NaN,NaN,NaN,NaN,NaN,NaN,NaN,251247772.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.872966692,NaN,1341000000,NaN,NaN,NaN,NaN,NaN,NaN,1293000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1464326161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58682.45153,58682.45153,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1721,26841,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.73351589,2.451827915,1.6375,4.9151608,NaN,1937.592407,4.87550592,2496.627686,0,4.2,1,28562,NaN,NaN,1833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.94820446,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.5286654,31.49631797,16.90549549,24.62822343,34.21509756,98728593.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004 [YR2004],NaN,NaN,NaN,NaN,NaN,NaN,NaN,355512155.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.548844146,NaN,1402000000,NaN,NaN,NaN,NaN,NaN,NaN,1379000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723750000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62180.62483,62180.62483,NaN,NaN,105.22648,0,NaN,NaN,10,93.89214,1445,NaN,NaN,NaN,1692,27248,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.94591581,2.010882697,1.4375,5.025559203,NaN,2052.292969,4.90734005,2908.695068,0,3.9,1,28940,NaN,NaN,1648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.32483858,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.92336779,33.27181819,15.92509838,23.12827013,35.84382035,102570486.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005 [YR2005],NaN,NaN,NaN,NaN,NaN,NaN,NaN,347709671.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.42510699,NaN,1436000000,NaN,NaN,NaN,NaN,NaN,NaN,1436000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1785847531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64812.4483,64812.4483,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1627,27697,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.39452469,1.667875272,1.35,5.416779601,NaN,2149.107666,4.93229675,3004.915527,0,3.6,1,29324,NaN,NaN,1465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.62686775,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.34232543,30.15998632,16.93509389,25.77118666,34.82658278,107612747.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006 [YR2006],NaN,NaN,NaN,NaN,NaN,NaN,NaN,479069768.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.830083565,NaN,1491000000,NaN,NaN,NaN,NaN,NaN,NaN,1521000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1908167106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68453.56861,68453.56861,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1563,28137,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.22566665,2.012072435,2.1275,4.604612755,NaN,2392.172607,4.99470377,3211.688477,0,3.3,1,29700,NaN,NaN,1563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.70082041,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.76561176,29.30336633,17.22250106,24.78675784,35.30874006,123222473.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007 [YR2007],NaN,NaN,NaN,NaN,NaN,NaN,NaN,647733471.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.109322602,NaN,1597000000,NaN,NaN,NaN,NaN,NaN,NaN,1597000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2185874624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74380.64074,74380.64074,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1501,28562,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.45536766,-1.972386588,2.6275,9.747137827,NaN,2640.119629,5.13984585,3741.922119,0,3.1,1,30063,NaN,NaN,1727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.65542038,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.45096013,30.44565541,17.63826308,26.05885295,35.05470408,143695621.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008 [YR2008],NaN,NaN,NaN,NaN,NaN,NaN,NaN,706793198.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.500939261,NaN,1589000000,NaN,NaN,NaN,NaN,NaN,NaN,1634000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2393437820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74527.86293,74527.86293,NaN,NaN,125.37313,0.25429,93.56449127,NaN,10,NaN,1573,NaN,NaN,NaN,1441,28993,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.38173178,2.831969792,2.2275,4.921164321,NaN,2953.059814,5.44675636,4301.019531,0,2.8,1,30434,NaN,NaN,1825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.63163801,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.86853833,30.71486074,17.67091532,28.26860958,36.16340405,157551536.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009 [YR2009],NaN,NaN,NaN,NaN,NaN,NaN,NaN,790271922.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.32095658,NaN,1425000000,NaN,NaN,NaN,NaN,NaN,NaN,1480000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2056126702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66510.57366,66510.57366,NaN,NaN,106.83453,0.31888,NaN,NaN,10,NaN,1568,NaN,NaN,NaN,1384,29432,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.47974108,0.999377268,0.9625,4.696190076,NaN,3078.653809,6.28378391,4209.331543,0,2.6,1,30816,NaN,NaN,1266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.48592323,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.60740073,36.07234726,16.93910919,25.83988209,37.98486229,163711293.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010 [YR2010],NaN,NaN,NaN,NaN,NaN,NaN,NaN,449159685.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.473684211,NaN,1347000000,NaN,NaN,NaN,NaN,NaN,NaN,1419000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1881214371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62761.4508,62761.4508,NaN,NaN,104.84429,0.31706,71.68640137,10.78129005,10,NaN,1577,NaN,NaN,NaN,1330,29899,NaN,100,NaN,NaN,1000,60,57.78162003,3.735872746,0,1642.99,NaN,NaN,NaN,NaN,NaN,NaN,100,1.430355746,0.7075,3.896411706,NaN,3042.044189,6.62572241,3991.243896,0,2.4,1,31229,NaN,NaN,1310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.9271065,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.97249266,37.29068985,15.59202295,24.73645352,37.39797013,167665554.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011 [YR2011],NaN,NaN,NaN,NaN,NaN,NaN,NaN,341857697.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.314773571,NaN,1235000000,NaN,NaN,NaN,NaN,NaN,NaN,1303000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1813752784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57943.44687,57943.44687,NaN,NaN,102.68456,0.38388,96.24559021,10.64035988,10,NaN,1563,NaN,NaN,NaN,1279,30382,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,1665.65,NaN,NaN,NaN,NaN,NaN,NaN,102.8997958,0.152699198,1.0825,5.758507607,NaN,3158.459961,7.41631603,4248.477051,0,2.2,1,31661,NaN,NaN,1278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.05942262,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.82937546,41.79178203,16.15303556,21.99392007,40.16246477,161658470.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012 [YR2012],NaN,NaN,NaN,NaN,NaN,NaN,NaN,384949652.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.044534413,NaN,1148000000,NaN,NaN,NaN,NaN,NaN,NaN,1249000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1604779648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54447.092,54447.092,NaN,NaN,101.65563,0.50826,NaN,NaN,10,NaN,1574,NaN,NaN,NaN,1229,30876,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.8091149,3.120044604,1.255,3.255870776,NaN,3233.0625,7.97268248,3984.977539,0,2.1,1,32105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,8.2,10.3,95.59776343,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.21772188,44.65081697,18.01625741,22.66902264,44.2974058,163974955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013 [YR2013],NaN,NaN,NaN,NaN,NaN,NaN,NaN,539285341.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.783972125,NaN,1139000000,NaN,NaN,NaN,NaN,NaN,NaN,1264000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1678841812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53466.73642,53466.73642,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1182,31371,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107.506709,2.000617175,1.0725,4.531418101,NaN,3133.066895,7.74346495,3993.264404,0,2,1,32553,NaN,11,1124,NaN,NaN,NaN,NaN,9,8.7,10.3,94.16855308,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.02301355,46.03208676,17.06623964,23.70767388,41.7640333,168294672.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014 [YR2014],NaN,NaN,NaN,NaN,NaN,NaN,NaN,392044349.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7023705,NaN,1131000000,NaN,NaN,NaN,NaN,NaN,NaN,1260000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1673973695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55420.29306,55420.29306,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,1134,31814,NaN,100,NaN,NaN,1000,60,NaN,NaN,0,1707.29,NaN,NaN,NaN,NaN,NaN,NaN,108.7032189,0.388644529,1.323927762,5.699071578,NaN,3052.535645,7.54904318,3835.263428,0,1.9,1,32948,NaN,4,1142,NaN,NaN,NaN,NaN,8,9,10.3,92.25797605,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.62357267,18.34558313,21.75825514,43.69727215,167808611.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
